id,id_rem,stazione,lon,lat,quota,riscaldatore,alt_anemometro,alt_sensori,lon_32,lat_32
1,RE1347,Cerreto Laghi,10.24290000,44.29670000,1347,1,10,3,599150.6824925672,4905578.622778123
4,RE0767,Carnola - C.Monti,10.40100000,44.41530000,767,0,10,3,611537.7158977811,4918955.442564282
7,RE0665,Felina,10.45850000,44.45220000,665,0,10,10,616042.4208348314,4923134.14811141
8,RE0518,S. Giovanni,10.56110000,44.52690000,518,0,8,2,624047.1400864765,4931582.364452465
9,RE0281,Colli Borzano,10.62220000,44.59490000,281,0,8,2,628752.1554604365,4939230.373563093
10,RE0081,Arceto,10.71980000,44.61970000,81,0,10,10,636440.506005883,4942143.829607788
11,RE0051,Reggio Emilia,10.62190000,44.70980000,51,0,10,10,628474.3573076171,4951993.123386743
12,RE0198,Quattro Castella,10.44560000,44.63070000,198,0,10,2,614665.0859803575,4942943.527868415
13,RE0637,Camporella,10.23450000,44.42140000,637,0,10,2,598271.8955035316,4919419.609288242
14,RE0030,Novellara,10.72320000,44.84300000,30,0,10,9,636185.0542156906,4966954.273692283
16,RE0842,Toano,10.57110000,44.37520000,842,1,10,2,625165.4150605391,4914747.14718339
17,RE0022,Boretto,10.54347000,44.90599000,22,0,12,3,621847.881743806,4973665.911757281
18,RE0682,Casina,10.49310000,44.52500000,682,0,3,2,618647.6021084626,4931270.300208216
19,RE1330,Ventasso Laghi,10.27510000,44.38570000,1330,1,4,3,601565.6132121162,4915503.735469718
20,RE0039,Gazzata,10.77930000,44.70240000,39,0,10,2,640960.3741210744,4951431.538913546
21,RE0032,Bagnolo in Piano,10.66941000,44.76264000,32,0,10,10,632117.3373902192,4957938.797810131
23,RE0088,Cavriago,10.51350600,44.69514900,88,0,10,10,619918.4477080655,4950200.342188703
28,RE0678,Villa Minozzo,10.45992000,44.36519000,678,0,4,3,616327.7655392435,4913471.390612702
6,RE2057,Monte Cusna,10.40160000,44.28210000,2057,0,7,6,611838.5315165682,4904161.0152843045
31,RE0438,Canossa e Rossena,10.32667000,44.43861000,438,0,2,2,605578.0887379046,4921446.041800235
27,RE1010,Oss. Cervarezza,10.32710000,44.40170000,1010,1,4,3,605678.7857500387,4917346.757572826
